Project,Maker(s),Category,Featured,Overview,Scope,Materials,Fabrication Steps,Outcome,Image Folder Path,Url,Notes
FLICKER 3D Printer Prototype,Jakub Jandus,Design & Fabrication,FALSE,"Custom 3D printer prototype exploring printer architecture, open-frame electronics testing, and structural trade-offs in rapid prototyping.","Custom 3D printer build, open-frame systems verification, electronics integration, and planned acrylic enclosure expansion.","• 3D-printed and structural frame components
 • Printer electronics (mainboard, stepper motors, drivers — implied by a custom 3D printer build)
 • Planned (not yet installed) acrylic panels for a future enclosure","1. Design the printer's frame and motion system architecture.
 2. Source or fabricate structural components for the open frame.
 3. Install and wire the electronics (mainboard, steppers, drivers, hotend/bed electronics).
 4. Verify all systems (motion, heating, electronics) function correctly in the open-frame configuration.
 5. Calibrate and run test prints to validate printer performance.
 6. Document the printer's current open-frame state and note enclosure panels as a planned future addition once systems are fully verified and acrylic funding is secured.",Delivered a functional 3D printer prototype operating in an open-frame configuration with photo assets and a video demonstration.,images/Tiny Project 2026/Flickers,,
Mastersword,Peter Story & Team,"Props, Costumes & Art, Electronics & Hardware",TRUE,"Custom LED-illuminated sword prop developed with WPI MakerBucks support, combining CAD-designed 3D-printed components with gyroscope-reactive lighting effects.","Three-layer blade design and fabrication, custom PCB development for LED control, gyroscope/accelerometer integration, and hilt finishing and detailing.","• PLA filament (outer blade shell)
 • TPU filament (inner blade core, holds and cushions the LED strip)
 • Polycarbonate tubing, 3/4"" outer diameter (middle alignment layer)
 • Individually addressable LED strip
 • MPU6050 gyroscope/accelerometer module
 • Arduino Pro Mini
 • Custom PCB (ordered from JLCPCB, purple soldermask to match the hilt)
 • Purple gloss spray paint (e.g., Rustoleum 2X Gloss, ""Grape"")
 • Gold acrylic paint
 • Clear matte topcoat (e.g., Rustoleum Clear Matte)
 • Shoelaces (for the handle wrap detail) and superglue","1. Design the blade and hilt in CAD (Onshape), planning a three-layer blade cross-section: PLA shell, polycarbonate middle tube, TPU inner core.
 2. Segment the blade and hilt into printable sections sized to fit both personal and Makerspace printers; print the hilt as a single piece where possible.
 3. Design a custom PCB to host the Arduino Pro Mini and MPU6050 gyroscope/accelerometer, optimizing for compact electronics space; order it from JLCPCB in a color matching the hilt.
 4. Program the Arduino Pro Mini to read motion data from the gyroscope/accelerometer and drive individually addressable LEDs with motion-reactive effects (e.g., a flicker effect tied to swing motion, plus a rainbow cycle mode).
 5. Prime and paint the hilt: a purple gloss base coat, hand-painted gold acrylic accents on the gem and handle end (painted separately from the blade connector to avoid sticking), then a clear matte topcoat to seal the finish.
 6. Add the handle's wrap detail: cut shoelaces to length, seal the cut ends with a lighter to prevent fraying, then lattice-wrap and superglue them around the hilt.
 7. Final-assemble the blade layers, electronics, and finished hilt into the complete sword.","Completed a fully assembled, motion-reactive illuminated sword prop with custom electronics and refined cosmetic finishing.",images/Tiny Project 2026/Masterswords,,
Permanent Magnet Levitation,Irakli Bakuradze,"Science & Sensors, Engineering & Testing",FALSE,"Experimental permanent-magnet levitation platform developed with WPI MakerBucks support, investigating the physical limits of static magnetic levitation.","Magnetic layout design, force modeling and optimization in Python, and physical prototyping of magnet arrays and support frames.","• Neodymium magnets
 • Cardboard (for the initial test array)
 • A 3D-printed triangular holder frame (PLA)
 • A Python environment (for simulation and optimization)","1. Study the magnetic surface-charge force model as a more intuitive alternative to working directly with Maxwell's equations.
 2. Hand-design several candidate magnet array layouts on paper.
 3. Build a simple physical prototype — a cardboard array of neodymium magnets — to build real intuition for how the magnets actually behave (a step worth doing earlier next time).
 4. Write a Python simulation of the repulsive forces between magnets, and run a gradient-descent optimizer to search for a stable, levitating layout.
 5. Interpret the simulation results: they didn't predict free levitation, since for this type of layout the net force integrated over all positions works out to zero — meaning a floating platform would need to be constrained to specific regions rather than fully free-floating.
 6. Design and 3D print a triangular holder frame based on the simulated layout.
 7. Test the physical setup: as predicted, free-float levitation was not achieved, but the platform did levitate once a few degrees of freedom were mechanically constrained.","Confirmed that free-floating levitation is not achievable with this configuration, consistent with Earnshaw's theorem, while constrained-motion levitation was demonstrated successfully.",images/Tiny Project 2026/Permanent Magnet Levitation,,
RF Light Art (Campus Spectrum Display),Mary S.,"Electronics & Hardware, Props, Costumes & Art",TRUE,"Real-time electromagnetic spectrum visualization installation developed with WPI MakerBucks support, translating invisible campus radio activity into a glowing LED light display.","Software-defined radio signal capture, custom driver development, FFT-based signal processing, and LED matrix hardware integration.","• RTL-SDR Blog V4 software-defined radio receiver
 • Raspberry Pi 4
 • Adafruit RGB Matrix Bonnet
 • HUB75 LED matrix panel
 • Frosted acrylic panel (light diffuser)
 • A PC for initial development (WSL2 with USB passthrough)","1. Research software-defined radio options and select the RTL-SDR Blog V4 as the receiver hardware.
 2. Set up a WSL2 environment on Windows with USB passthrough, to develop and test the SDR software pipeline before the Raspberry Pi arrived.
 3. Build custom V4 drivers from source, since the stock librtlsdr library lacked V4-specific functions — this required manually patching pyrtlsdr.
 4. Implement an FFT (Fast Fourier Transform) pipeline in Python (NumPy) to extract per-frequency-band power levels from the raw radio samples.
 5. Add per-band relative normalization so weak signals (e.g., ADS-B aircraft transponders, EMS/emergency-pager bands) stay visible on the display alongside much stronger signals (e.g., FM radio).
 6. Apply exponential smoothing to the processed signal to eliminate LED flicker caused by noisy raw FFT output.
 7. Wire an Adafruit RGB Matrix Bonnet to a Raspberry Pi 4 and connect a HUB75 LED matrix panel.
 8. Work around broken Python bindings for the rpi-rgb-led-matrix library by writing a custom C program that acts as a ""pixel server,"" accepting pixel data over stdin.
 9. Build a circular glow-rendering system where each frequency band renders as a colored circle whose radius and brightness scale with that band's live signal strength, mounted behind a frosted acrylic diffuser panel.","Delivered a functioning, continuously updating light art installation reflecting real-time campus radio activity, with plans to find it a permanent home in the ECE building.",images/Tiny Project 2026/RF Light Art,,
Robotic Arm,Kaden Ly,"Robotics, Electronics & Hardware",TRUE,"Custom 3D-printed robotic arm developed with WPI MakerBucks support, focusing on iterative CAD design, precision tolerancing, and stepper-driven joint actuation.","Iterative prototyping of arm joints, clearance and tolerance testing, stepper motor integration, and development of forward-kinematics control software.","• 3D-printed structural/joint components (from CAD)
 • Stepper motors (one or more per joint)
 • Stepper motor drivers (1/8 microstepping)
 • Gear reduction hardware (roughly 50:1 reduction at the joints)
 • Microcontroller and wiring for motor control","1. Design the arm and its joints in CAD, including the gear reduction (roughly 50:1) needed at each joint.
 2. 3D print individual parts and test clearance, tolerance, and overall size before committing to a full build.
 3. Expect (and plan for) multiple print iterations — small CAD tweaks can mean a full 5–6 hour reprint each time tolerances need adjusting.
 4. Assemble and test the first complete joint (Joint 2) for range of motion.
 5. Install stepper motors and 1/8-microstep drivers at each joint.
 6. Wire the motors to a microcontroller and write basic motor-control code.
 7. Test full-arm movement, including lifting and presenting a small object (e.g., a soda can).
 8. Diagnose and address stepper ""slip"" under high torque when the arm is fully extended, which can cause the calculated end-effector position to drift from its real position.
 9. Implement forward kinematics so the arm can be commanded to specific joint angles.
 10. (Next step) Add computer vision and inverse kinematics so the arm can operate more autonomously.","Functional multi-joint arm capable of lifting and presenting objects under forward-kinematics control, with inverse kinematics and vision integration planned as next steps.",images/Tiny Project 2026/Robotic Arm,,
ROV Submarine Chassis,Zirun Yang,"Robotics, Engineering & Testing",FALSE,Competition-grade ROV submarine chassis developed with WPI MakerBucks support for the team's first entry into the international MATE ROV underwater robotics competition.,"Design and fabrication of a pressure-resistant hull and mechanical chassis, power distribution board development, and control system programming.","• 3D-printed pressure-bearing hull and chassis components
 • A custom power distribution board (PDB) and associated electronics
 • Control system hardware (microcontroller/computer, per the ROV's RBE/CS control stack)
 • Waterproofing/sealing hardware for the hull
 • A test tank or pool for water testing","1. Design the pressure-resistant hull and mechanical chassis in CAD.
 2. Select 3D-printing parameters — notably infill rate — to balance pressure resistance against weight and print time.
 3. 3D print the hull and chassis components.
 4. Design and build a power distribution board (PDB) to manage the ROV's onboard electrical system.
 5. Develop the ROV's control system software.
 6. Assemble the hull, chassis, PDB, and control electronics into a complete unit, sealing all pressure-critical joints.
 7. Conduct prototype water testing to confirm the hull withstands water pressure and the full system operates as intended.","Successfully completed prototype water testing, with the chassis withstanding water pressure as designed.",images/Tiny Project 2026/ROV Submarine -- Chassis,,
Singing Wineglass Robot,Kyle Mitchell,Robotics,FALSE,Automated robot exploring acoustic robotics and mechanical tuning by driving controlled friction across wineglass rims to produce musical tones.,"Acoustic iteration, mechanical design, and tuning of sponge pressure, moisture levels, air density, and structural rigidity.","• Wineglasses (tuned by fill level or size, one per note)
 • Mechanical drive components for rim-friction actuation
 • Sponge or contact material for the rim interface
 • Structural frame/components for rigidity","1. Select wineglasses and determine their individual resonant notes.
 2. Design and build a mechanism that drives a sponge or contact material around each glass's rim with controlled pressure.
 3. Mount the mechanism(s) in a rigid frame — structural rigidity strongly affects tone quality.
 4. Tune each glass individually: adjust sponge pressure, sponge dampness, rim dampness, and the air density/volume ratio inside the glass until it reliably sings its note.
 5. Attempt to run multiple glasses simultaneously and identify cross-glass interference or timing issues.
 6. Document which combinations of pressure/moisture/rigidity settings produced the most reliable single-glass tone, for future multi-glass tuning work.",Successfully demonstrated pitch control across individual glasses with complete media documentation and technical reflections.,images/Tiny Project 2026/Singing Wineglass Robot,,
Splitflap PCB,Kaden Ly,Electronics & Hardware,FALSE,"Custom-designed PCB for a split-flap display module, developed with WPI MakerBucks support, covering schematic design, board layout, and assembly.","Circuit prototyping, PCB schematic and layout design in KiCad, component sourcing, board assembly, and multi-unit soldering and integration.","• Custom PCB, matte black finish (ordered from JLCPCB)
 • Electronic components sourced from Digikey (microcontroller, motor driver components, screw terminals)
 • Small motors to drive the flap mechanism (one per board)
 • JST connectors (for inter-board/component communication)
 • Basic soldering tools and supplies","1. Prototype the split-flap driver circuit on a breadboard to confirm the concept works.
 2. Turn the proven breadboard circuit into a schematic in KiCad.
 3. Lay out the PCB in KiCad's PCB editor, selecting final components and footprints.
 4. Order the boards from JLCPCB with a matte black finish.
 5. Source the remaining components from Digikey.
 6. Solder together a single PCB first, and test that the microcontroller can properly drive the motor before committing to the full batch.
 7. Once verified, solder the remaining boards (eight total), laying them out together for efficient assembly.
 8. Crimp JST connectors for inter-board and component communication.
 9. Mount each finished PCB to the back of its corresponding flap unit to drive the motor, and assemble the full set.","Successfully assembled and tested eight custom PCBs to drive split-flap motor units, completing a functional custom electronics build.",images/Tiny Project 2026/Splitflap PCB,,
Star Wars Clone Trooper Helmet,Phil Miu,"Props, Costumes & Art",FALSE,"Custom full-scale Clone Trooper helmet replica created with WPI MakerBucks support, focusing on 3D printing, surface finishing, and assembly.","3D printing, post-processing, assembly, and budget management for project fabrication supplies.","• 3D-printed helmet shell segments
 • Surface-finishing supplies (filler, primer, sandpaper)
 • Paint and clear coat
 • Assembly hardware/adhesive to join printed segments","1. Source or prepare a 3D-printable Clone Trooper helmet model, split into segments sized for the available printer bed.
 2. Print all helmet segments.
 3. Sand, fill, and smooth print lines and layer seams on each segment.
 4. Join the segments into a complete helmet shell.
 5. Prime, paint, and clear-coat the assembled helmet in the correct color scheme.
 6. Fit-check the helmet and document the finished prop with photos and video.",Successfully created a completed Clone Trooper helmet prop with media documentation and a video demonstration.,images/Tiny Project 2026/Clone Helemt,,
Suitcase Maze Game,Benjamin Levy,"Props, Costumes & Art, Design & Fabrication",TRUE,"Interactive cooperative art game developed with WPI MakerBucks support, transforming a vintage suitcase into a maze-navigation experience.","Prototyping and gameplay design, laser-cutting and hand-assembly of a maze enclosure, and integration of the suitcase's wheels as a communication interface.","• Plywood and acrylic sheet (laser-cut)
 • Wood glue and epoxy
 • A vintage suitcase (repurposed for its built-in wheels)
 • A magnet and a metal ball (the maze ""piece"")
 • A clip-on light (to highlight the suitcase wheel mechanism)
 • A rotary tool (Dremel)
 • Printed rule sheets and envelopes (for player-specific instructions)","1. Build a rough cardboard-and-paper prototype first, to validate that the core two-player, communication-limited gameplay concept was actually fun and workable.
 2. Attend a Makerspace design consultation to settle on final materials and construction methods (plywood and acrylic, both laser-cuttable, light and cheap).
 3. Laser-cut the maze box's base panel and wall segments; when flipping the base panel to engrave the second side caused misalignment, switch to hand-drawing that grid with graphite and a ruler instead of engraving it.
 4. Glue the wall segments to the base panel by hand — the wall geometry made clamping impossible, so each wall was aligned and held by hand during gluing (a slow process, roughly 6 hours).
 5. Seal the top of the maze box with a clear acrylic panel, glued on with epoxy.
 6. Laser-cut and hand-assemble a stand for the maze box using the same cut-and-glue method as the walls, then attach the stand to the box.
 7. Modify the suitcase: use a rotary tool to cut a hole exposing the suitcase's built-in wheels from behind, then mount a clip-on light aimed at the wheel to draw attention to it as the game's communication interface.
 8. Write and print separate rule sheets for the Observer and Controller roles, sealing each in its own envelope so players can't accidentally read the other role's instructions ahead of time.","Completed ""Wayne Can't Make the Journey Alone,"" a fully functional cooperative game showcased at three public exhibitions.",images/Tiny Project 2026/Suitcase Maze Game,,
Thunderhawk Transporter,Anthony P.,Design & Fabrication,FALSE,"Large-scale 3D-printed Warhammer 40k model developed with WPI MakerBucks support, focusing on multi-part print scaling and structural assembly.","Digital model scaling and slicing, multi-part print segmentation, support removal and finishing, and structural assembly.","• 3D-printed plastic parts (model split into 4 separate prints)
 • Gorilla Glue (structural adhesive for assembly)
 • Duct tape (temporary bracing during glue cure)
 • Tweezers and hobby tools (support removal)
 • Sandpaper and hobby knives (for future finishing/cleanup)","1. Source a digital 3D model of the vehicle and scale it in slicing software (Bambu Studio) to match the proportions of existing miniatures.
 2. Split the model into four separate parts to fit the printer's build plate, given the model's overall size.
 3. Re-slice and reassign the correct printer profile after discovering the initial file was generated for a different printer model.
 4. Get the print approved for overnight printing given its size, then queue and run the print.
 5. Once printed, remove support structures using tweezers and hobby tools.
 6. Assemble the four printed parts using Gorilla Glue, taping and bracing the large, bulky pieces against a wall and table for 2–3 hours while the glue set (assembled in two stages to make handling easier).
 7. Use a temporary stand-in (a cup) for a flight stand until a dedicated one is designed and built.","Completed the largest model in the maker's personal collection, successfully assembled and used in a live tabletop gaming session.",images/Tiny Project 2026/Thunderhawk Transporter,,
Truck Tent Prototype,Jakob Sperry,Design & Fabrication,FALSE,"Custom truck tent prototype focused on outdoor gear design, practical spatial fitting, material selection, and structural support for vehicle-integrated shelter.","Custom enclosure design, vehicle fitting, material sourcing, and budget allocation for structural supplies and fabrication.","• Tent fabric/material (weather-resistant)
 • Structural supports (poles or frame members)
 • Fasteners and attachment hardware for mounting to the truck bed
 • Seam-sealing or weatherproofing supplies","1. Measure the target truck bed and cab clearance to establish the tent's dimensions.
 2. Design the tent's shape and structural support layout for a vehicle-integrated fit.
 3. Source tent fabric and structural support materials.
 4. Cut and sew (or otherwise assemble) the tent body.
 5. Build and attach the structural supports.
 6. Mount and test-fit the tent on the truck bed.
 7. Weatherproof seams and document with photos and video.",Delivered a completed working prototype with photo documentation and a video submission.,images/Tiny Project 2026/Truck Tent,,
Universal Remote Prototype,Joseph Nixon,"Electronics & Hardware, Robotics",FALSE,"Custom universal remote control prototype developed with WPI MakerBucks support, focusing on functional enclosure design, rapid prototyping, and cost-conscious material selection.","Hardware enclosure design, component integration, and prototype testing for universal remote functionality.","• 3D-printed PETG enclosure (switched from nylon for cost reasons)
 • Remote-control electronics/components (IR emitter, microcontroller, buttons — per the enclosure's internal layout)
 • Fasteners for enclosure assembly","1. Define the functional requirements for the universal remote (buttons, IR range, form factor).
 2. Design the enclosure in CAD, planning internal component layout and clearances.
 3. Select an initial print material (nylon) and evaluate cost against the project budget.
 4. Switch the print material to PETG after nylon proved too costly to sustain through design iterations.
 5. 3D print the enclosure and iterate on fit and durability.
 6. Integrate and wire the internal electronics into the printed enclosure.
 7. Test the assembled remote for functionality and document with photos and a video demonstration.",Working prototype completed with documented media assets and a video demonstration for the WPI MakerBucks Showcase.,images/Tiny Project 2026/Universal Remote,,
